Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5377-1,14-01-2014,2014,Fred Wasserman,"61 York St,Sydney",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Fluorescent Highlighters by DrawIt,Office Supplies,Wrap Bag,Regular Air,17-01-2014,$1.95,$3.98,$2.03,41,$163.18,7%,$11.42,$151.76,$0.83,$152.59
5379-1,15-01-2014,2014,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Corporate,Tina Carlton,Medium,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,17-01-2014,$5.19,$12.98,$7.79,34,$441.32,4%,$17.65,$423.67,$3.14,$426.81
5381-1,15-01-2014,2014,Sanjit Engle,"12 Princess Hwy,Sylvania",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Emerson LQ-870 Dot Matrix Printer,Technology,Jumbo Drum,Delivery Truck,17-01-2014,$219.61,$535.64,$316.03,1,$535.64,5%,$26.78,$508.86,$14.70,$523.56
5383-1,17-01-2014,2014,Patrick OBrill,27/580 Hay Street,Perth,WA,Home Office,Tina Carlton,Critical,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,19-01-2014,$3.84,$6.30,$2.46,32,$201.60,4%,$8.06,$193.54,$0.50,$194.04
5384-1,23-01-2014,2014,Mark Van Huff,"1 John Street,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Not Specified,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,25-01-2014,$0.93,$1.48,$0.55,27,$39.96,0%,$0.00,$39.96,$0.70,$40.66
5386-1,24-01-2014,2014,Helen Andreada,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,High,Emerson C82 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,26-01-2014,$76.79,$119.99,$43.20,13,"$1,559.87",4%,$62.39,"$1,497.48",$14.00,"$1,511.48"
5388-1,25-01-2014,2014,Darrin Van Huff,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,27-01-2014,$1.09,$2.60,$1.51,27,$70.20,9%,$6.32,$63.88,$2.40,$66.28
5389-1,26-01-2014,2014,Sarah Jordon,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,Aluminum Document Frame,Furniture,Small Pack,Regular Air,02-02-2014,$5.50,$12.22,$6.72,19,$232.18,9%,$20.90,$211.28,$2.85,$214.13
5391-1,26-01-2014,2014,Bill Eplett,"18 Robinson Avenue, Perth",Sydney,NSW,Corporate,Tina Carlton,Critical,TechSavi Access Keyboard,Technology,Small Box,Regular Air,27-01-2014,$10.07,$15.98,$5.91,8,$127.84,4%,$5.11,$122.73,$4.00,$126.73
5392-1,27-01-2014,2014,Ken Lonsdale,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,27-01-2014,$5.33,$8.60,$3.27,4,$34.40,4%,$1.38,$33.02,$6.19,$39.21
5393-1,29-01-2014,2014,Michael Nguyen,"48 Albion St,Surry Hills",Sydney,NSW,Small Business,Natasha Song,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,01-02-2014,$54.29,$90.48,$36.19,27,"$2,442.96",0%,$0.00,"$2,442.96",$19.99,"$2,462.95"
5394-1,30-01-2014,2014,Hilary Holden,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,01-02-2014,$13.64,$20.98,$7.34,31,$650.38,9%,$58.53,$591.85,$1.49,$593.34
5395-1,30-01-2014,2014,Brooke Gillingham,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Medium,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Regular Air,01-02-2014,$3.48,$5.43,$1.95,2,$10.86,10%,$1.09,$9.77,$0.95,$10.72
5396-1,02-02-2014,2014,Suzanne McNair,"Crown Complex,Southbank",Melbourne,VIC,Small Business,Connor Betts,Low,Colored Envelopes,Office Supplies,Small Box,Regular Air,07-02-2014,$2.25,$3.69,$1.44,20,$73.80,8%,$5.90,$67.90,$2.50,$70.40
5398-1,03-02-2014,2014,Mathew Reese,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,UGen Ultra Cordless Optical Suite,Technology,Small Box,Regular Air,04-02-2014,$54.52,$100.97,$46.45,15,"$1,514.55",8%,$121.16,"$1,393.39",$7.18,"$1,400.57"
5400-1,05-02-2014,2014,Dennis Kane,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,06-02-2014,$278.99,$449.99,$171.00,39,"$17,549.61",8%,"$1,403.97","$16,145.64",$49.00,"$16,194.64"
5402-1,07-02-2014,2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,HFX LaserJet 3310 Copier,Technology,Large Box,Regular Air,16-02-2014,$377.99,$599.99,$222.00,48,"$28,799.52",8%,"$2,303.96","$26,495.56",$24.49,"$26,520.05"
5402-2,07-02-2014,2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Unpadded Memo Slips,Office Supplies,Wrap Bag,Express Air,12-02-2014,$2.59,$3.98,$1.39,11,$43.78,10%,$4.38,$39.40,$2.97,$42.37
5404-1,09-02-2014,2014,Susan MacKendrick,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,13-02-2014,$2.26,$3.58,$1.32,42,$150.36,1%,$1.50,$148.86,$5.47,$154.33
5405-1,10-02-2014,2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Critical,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,11-02-2014,$8.82,$20.99,$12.17,42,$881.58,7%,$61.71,$819.87,$4.81,$824.68
5407-1,10-02-2014,2014,Elpida Rittenbach,"163 Concord Road,North Strathfield",Sydney,NSW,Consumer,Charlie Bui,Low,Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Small Box,Express Air,12-02-2014,$52.07,$83.98,$31.91,9,$755.82,5%,$37.79,$718.03,$5.01,$723.04
5409-1,12-02-2014,2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Home Office,Natasha Song,High,Cando PC940 Copier,Technology,Large Box,Regular Air,13-02-2014,$216.00,$449.99,$233.99,5,"$2,249.95",2%,$45.00,"$2,204.95",$24.49,"$2,229.44"
5411-1,13-02-2014,2014,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Consumer,Leighton Forrest,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Wrap Bag,Regular Air,13-02-2014,$2.16,$3.85,$1.69,31,$119.35,9%,$10.74,$108.61,$0.70,$109.31
5413-1,15-02-2014,2014,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Medium,Blackstonian Pencils,Office Supplies,Wrap Bag,Regular Air,16-02-2014,$1.15,$2.67,$1.52,19,$50.73,3%,$1.52,$49.21,$0.86,$50.07
5415-1,15-02-2014,2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Creator Colored Pencils,Office Supplies,Wrap Bag,Express Air,20-02-2014,$1.57,$3.28,$1.71,44,$144.32,0%,$0.00,$144.32,$0.98,$145.30
5416-1,16-02-2014,2014,Pamela Coakley,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,18-02-2014,$8.82,$20.99,$12.17,24,$503.76,1%,$5.04,$498.72,$4.81,$503.53
5418-1,22-02-2014,2014,Amy Cox,"101/12 Victoria Ave, Perth",Sydney,NSW,Corporate,Aanya Zhang,Critical,Apex Box Cutter Scissors,Office Supplies,Small Pack,Regular Air,23-02-2014,$4.19,$10.23,$6.04,9,$92.07,7%,$6.44,$85.63,$4.68,$90.31
5420-1,22-02-2014,2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Consumer,Yvette Biti,High,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,23-02-2014,$0.93,$1.48,$0.55,46,$68.08,0%,$0.00,$68.08,$0.70,$68.78
5421-1,22-02-2014,2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Corporate,Natasha Song,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,23-02-2014,$21.56,$35.94,$14.38,13,$467.22,3%,$14.02,$453.20,$6.66,$459.86
5423-1,23-02-2014,2014,Erica Hackney,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Medium,TechSavi Cordless Navigator Duo,Technology,Small Box,Regular Air,26-02-2014,$42.11,$80.98,$38.87,45,"$3,644.10",0%,$0.00,"$3,644.10",$7.18,"$3,651.28"
5424-1,24-02-2014,2014,Chad McGuire,"73 MacLeay St,Potts Point",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan Non-Stick Binders,Office Supplies,Small Box,Regular Air,25-02-2014,$2.74,$4.49,$1.75,6,$26.94,3%,$0.81,$26.13,$1.49,$27.62
5426-1,24-02-2014,2014,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,26-02-2014,$2.52,$4.00,$1.48,33,$132.00,8%,$10.56,$121.44,$1.30,$122.74
5428-1,25-02-2014,2014,Bobby Elias,"37/59 Brewer Street, Perth",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Creator Colored Pencils,Office Supplies,Wrap Bag,Regular Air,26-02-2014,$1.57,$3.28,$1.71,26,$85.28,8%,$6.82,$78.46,$0.98,$79.44
5430-1,25-02-2014,2014,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,Charlie Bui,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,27-02-2014,$3.47,$6.68,$3.21,33,$220.44,3%,$6.61,$213.83,$1.50,$215.33
5432-1,28-02-2014,2014,Lena Radford,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,Tina Carlton,Medium,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,Regular Air,01-03-2014,$0.90,$2.10,$1.20,21,$44.10,4%,$1.76,$42.34,$0.70,$43.04
5433-1,02-03-2014,2014,Edward Nazzal,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Medium,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,03-03-2014,$18.38,$29.17,$10.79,1,$29.17,2%,$0.58,$28.59,$6.27,$34.86
5434-1,06-03-2014,2014,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,07-03-2014,$4.46,$10.89,$6.43,32,$348.48,10%,$34.85,$313.63,$4.50,$318.13
5435-1,10-03-2014,2014,Adam Hart,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,11-03-2014,$1.94,$3.08,$1.14,1,$3.08,8%,$0.25,$2.83,$0.99,$3.82
5436-1,11-03-2014,2014,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Airmail Envelopes,Office Supplies,Small Box,Regular Air,12-03-2014,$52.04,$83.93,$31.89,50,"$4,196.50",10%,$419.65,"$3,776.85",$19.99,"$3,796.84"
5438-1,12-03-2014,2014,Matt Collister,1/20 Pendal Lane,Perth,WA,Home Office,Natasha Song,High,TechSavi Cordless Elite Duo,Technology,Small Box,Express Air,13-03-2014,$60.59,$100.98,$40.39,5,$504.90,2%,$10.10,$494.80,$7.18,$501.98
5439-1,13-03-2014,2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,13-03-2014,$3.75,$7.08,$3.33,34,$240.72,3%,$7.22,$233.50,$2.35,$235.85
5440-1,15-03-2014,2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Critical,Binder Posts,Office Supplies,Small Box,Regular Air,15-03-2014,$3.50,$5.74,$2.24,45,$258.30,0%,$0.00,$258.30,$5.01,$263.31
5442-1,17-03-2014,2014,Troy Blackwell,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Home Office,Mihael Khan,Critical,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,18-03-2014,$1.09,$2.60,$1.51,43,$111.80,1%,$1.12,$110.68,$2.40,$113.08
5444-1,17-03-2014,2014,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,18-03-2014,$8.92,$29.74,$20.82,25,$743.50,0%,$0.00,$743.50,$6.64,$750.14
5445-1,17-03-2014,2014,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Smiths Colored Bar Computer Paper,Office Supplies,Small Box,Regular Air,18-03-2014,$21.97,$35.44,$13.47,21,$744.24,0%,$0.00,$744.24,$4.92,$749.16
5446-1,19-03-2014,2014,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Small Business,Connor Betts,Critical,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,21-03-2014,$2.26,$3.58,$1.32,39,$139.62,0%,$0.00,$139.62,$5.47,$145.09
5448-1,21-03-2014,2014,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,NSW,Home Office,Charlie Bui,Low,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,26-03-2014,$1.94,$3.08,$1.14,5,$15.40,6%,$0.92,$14.48,$0.99,$15.47
5449-1,28-03-2014,2014,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,High,Brown Kraft Recycled Envelopes,Office Supplies,Small Box,Regular Air,28-03-2014,$11.04,$16.98,$5.94,31,$526.38,3%,$15.79,$510.59,$12.39,$522.98
5450-1,29-03-2014,2014,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Consumer,Charlie Bui,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,30-03-2014,$4.53,$7.30,$2.77,18,$131.40,5%,$6.57,$124.83,$7.72,$132.55
5451-1,31-03-2014,2014,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,DrawIt Colored Pencils,Office Supplies,Wrap Bag,Regular Air,31-03-2014,$4.37,$9.11,$4.74,1,$9.11,10%,$0.91,$8.20,$2.25,$10.45
5453-1,01-04-2014,2014,Anne Pryor,"101 Murray Street, Perth",Sydney,NSW,Consumer,Aanya Zhang,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Regular Air,02-04-2014,$16.80,$40.97,$24.17,44,"$1,802.68",8%,$144.21,"$1,658.47",$8.99,"$1,667.46"
5455-1,02-04-2014,2014,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,04-04-2014,$7.13,$20.98,$13.85,39,$818.22,4%,$32.73,$785.49,$5.42,$790.91
5456-1,02-04-2014,2014,Patrick Bzostek,"1/50-58 Hunter St,Sydney",Sydney,NSW,Consumer,Preston Senome,Critical,Barrel Sharpener,Office Supplies,Small Pack,Regular Air,04-04-2014,$1.46,$3.57,$2.11,41,$146.37,3%,$4.39,$141.98,$4.17,$146.15
5457-1,03-04-2014,2014,Alex Grayson,"73 Lindsay Street, Perth",Sydney,NSW,Consumer,Radhya Staples,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,05-04-2014,$2.13,$3.49,$1.36,46,$160.54,1%,$1.61,$158.93,$0.76,$159.69
5458-1,04-04-2014,2014,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,05-04-2014,$3.84,$6.30,$2.46,18,$113.40,10%,$11.34,$102.06,$0.50,$102.56
5460-1,06-04-2014,2014,Steve Chapman,"1/50-58 Hunter St,Sydney",Sydney,NSW,Corporate,Preston Senome,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,11-04-2014,$1.05,$1.95,$0.90,31,$60.45,2%,$1.21,$59.24,$1.63,$60.87
5461-1,07-04-2014,2014,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,07-04-2014,$0.24,$1.26,$1.02,35,$44.10,9%,$3.97,$40.13,$0.70,$40.83
5463-1,07-04-2014,2014,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Home Office,Charlie Bui,Not Specified,Emerson Stylus 1520 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,07-04-2014,$315.61,$500.97,$185.36,31,"$15,530.07",6%,$931.80,"$14,598.27",$69.30,"$14,667.57"
5465-1,07-04-2014,2014,Harold Dahlen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,HFX LaserJet 3310 Copier,Technology,Large Box,Regular Air,09-04-2014,$377.99,$599.99,$222.00,30,"$17,999.70",9%,"$1,619.97","$16,379.73",$24.49,"$16,404.22"
5467-1,11-04-2014,2014,Brenda Bowman,"73 York St,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,12-04-2014,$1.09,$2.60,$1.51,2,$5.20,3%,$0.16,$5.04,$2.40,$7.44
5469-1,15-04-2014,2014,Xylona Price,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,TechSavi Internet Navigator Keyboard,Technology,Small Box,Regular Air,16-04-2014,$6.51,$30.98,$24.47,36,"$1,115.28",0%,$0.00,"$1,115.28",$6.50,"$1,121.78"
5470-1,17-04-2014,2014,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,19-04-2014,$4.59,$7.28,$2.69,11,$80.08,7%,$5.61,$74.47,$11.15,$85.62
5471-1,17-04-2014,2014,Dean Percer,"222 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Medium,Apex Box Cutter Scissors,Office Supplies,Small Pack,Regular Air,18-04-2014,$4.19,$10.23,$6.04,22,$225.06,7%,$15.75,$209.31,$4.68,$213.99
5473-1,17-04-2014,2014,Anemone Ratner,"32 Wellington Street, Perth",Sydney,NSW,Small Business,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Express Air,18-04-2014,$3.42,$8.34,$4.92,16,$133.44,4%,$5.34,$128.10,$2.64,$130.74
5475-1,02-05-2014,2014,Brian Stugart,"88 Oxford St,Woollahra",Sydney,NSW,Consumer,Charlie Bui,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Regular Air,04-05-2014,$84.22,$210.55,$126.33,32,"$6,737.60",10%,$673.76,"$6,063.84",$9.99,"$6,073.83"
5476-1,02-05-2014,2014,Michelle Tran,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Small Box,Express Air,03-05-2014,$7.13,$20.98,$13.85,14,$293.72,10%,$29.37,$264.35,$5.42,$269.77
5477-1,02-05-2014,2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,03-05-2014,$2.29,$3.58,$1.29,15,$53.70,5%,$2.69,$51.02,$1.63,$52.65
5478-1,03-05-2014,2014,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,07-05-2014,$1.31,$2.84,$1.53,48,$136.32,10%,$13.63,$122.69,$0.93,$123.62
5479-1,06-05-2014,2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,08-05-2014,$2.26,$3.58,$1.32,25,$89.50,0%,$0.00,$89.50,$5.47,$94.97
5479-2,06-05-2014,2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Assorted Color Push Pins,Office Supplies,Wrap Bag,Regular Air,08-05-2014,$0.87,$1.81,$0.94,45,$81.45,8%,$6.52,$74.93,$0.75,$75.68
5483-1,08-05-2014,2014,Ritsa Hightower,22 St Georges Terrace,Perth,WA,Corporate,Natasha Song,Low,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,13-05-2014,$0.93,$1.48,$0.55,33,$48.84,7%,$3.42,$45.42,$0.70,$46.12
5485-1,08-05-2014,2014,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Low,Economy Binders,Office Supplies,Small Box,Regular Air,12-05-2014,$1.33,$2.08,$0.75,40,$83.20,0%,$0.00,$83.20,$1.49,$84.69
5487-1,09-05-2014,2014,Jim Radford,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,Regular Air,10-05-2014,$56.16,$136.98,$80.82,44,"$6,027.12",8%,$482.17,"$5,544.95",$24.49,"$5,569.44"
5489-1,11-05-2014,2014,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Corporate,Tina Carlton,Medium,Lumi Crayons,Office Supplies,Wrap Bag,Regular Air,12-05-2014,$5.22,$9.85,$4.63,20,$197.00,6%,$11.82,$185.18,$4.82,$190.00
5491-1,13-05-2014,2014,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Not Specified,Alto 3-Hole Punch,Office Supplies,Small Box,Regular Air,14-05-2014,$2.76,$4.38,$1.62,29,$127.02,8%,$10.16,$116.86,$6.21,$123.07
5493-1,15-05-2014,2014,Eric Barreto,14 Money Street,Perth,WA,Consumer,Phoebe Gour,Medium,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,16-05-2014,$1.94,$3.08,$1.14,9,$27.72,1%,$0.28,$27.44,$0.99,$28.43
5494-1,17-05-2014,2014,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,18-05-2014,$5.19,$12.98,$7.79,20,$259.60,4%,$10.38,$249.22,$3.14,$252.36
5496-1,19-05-2014,2014,Richard Eichhorn,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,Medium,Aluminum Document Frame,Furniture,Small Pack,Express Air,20-05-2014,$5.50,$12.22,$6.72,18,$219.96,4%,$8.80,$211.16,$2.85,$214.01
5497-1,19-05-2014,2014,Juliana Krohn,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Low,Smiths Bulldog Clip,Office Supplies,Wrap Bag,Express Air,24-05-2014,$2.31,$3.78,$1.47,15,$56.70,3%,$1.70,$55.00,$0.71,$55.71
5498-1,25-05-2014,2014,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Radhya Staples,Low,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,29-05-2014,$278.99,$449.99,$171.00,47,"$21,149.53",10%,"$2,114.95","$19,034.58",$49.00,"$19,083.58"
5500-1,29-05-2014,2014,Ken Dana,"73 York St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,02-06-2014,$32.02,$152.48,$120.46,49,"$7,471.52",3%,$224.15,"$7,247.37",$4.00,"$7,251.37"
5502-1,29-05-2014,2014,Andy Yotov,"31 Wellington Street, Perth",Sydney,NSW,Corporate,Natasha Song,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,29-05-2014,$13.88,$22.38,$8.50,26,$581.88,7%,$40.73,$541.15,$15.10,$556.25
5504-1,29-05-2014,2014,Melanie Page,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,Regular Air,29-05-2014,$4.79,$11.97,$7.18,46,$550.62,7%,$38.54,$512.08,$5.81,$517.89
5505-1,02-06-2014,2014,Arthur Gainer,"14/76 Newcastle Street, Perth",Melbourne,VIC,Corporate,Connor Betts,Critical,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,04-06-2014,$8.82,$20.99,$12.17,10,$209.90,0%,$0.00,$209.90,$4.81,$214.71
5506-1,03-06-2014,2014,Jeremy Lonsdale,"163 Concord Road,North Strathfield",Sydney,NSW,Corporate,Charlie Bui,Not Specified,"Creator Anti Dust Chalk, 12/Pack",Office Supplies,Wrap Bag,Regular Air,04-06-2014,$1.09,$1.82,$0.73,40,$72.80,10%,$7.28,$65.52,$1.00,$66.52
5507-1,03-06-2014,2014,Christopher Martinez,33 Wellington Street,Perth,WA,Small Business,Tina Carlton,High,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,05-06-2014,$3.75,$7.08,$3.33,45,$318.60,6%,$19.12,$299.48,$2.35,$301.83
5508-1,04-06-2014,2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Consumer,Radhya Staples,High,Deluxe Rollaway Locking File with Drawer,Office Supplies,Small Box,Regular Air,05-06-2014,$178.83,$415.88,$237.05,43,"$17,882.84",7%,"$1,251.80","$16,631.04",$11.37,"$16,642.41"
5510-1,04-06-2014,2014,Dianna Wilson,"310 Wattle St,Ultimo",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,05-06-2014,$156.50,$300.97,$144.47,6,"$1,805.82",4%,$72.23,"$1,733.59",$7.18,"$1,740.77"
5512-1,05-06-2014,2014,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Corporate,Phoebe Gour,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,07-06-2014,$12.39,$19.98,$7.59,10,$199.80,10%,$19.98,$179.82,$5.77,$185.59
